lat,lng,trab,nao_trab,total,tipo,focal,peri,nebul,mecanico,alternativo,agente,ordem,casa,im_aegypti,im_albopictus
-23.72696,-46.54335,4,0,4.0,1,,,,,,,,,,
-23.72892,-46.5406,1,0,1.0,1,,,,,,,,,,
-23.72892,-46.53988,1,0,1.0,1,,,,,,,,,,
-23.72898,-46.53987,1,0,1.0,1,,,,,,,,,,
-23.72901,-46.5399,1,0,1.0,1,,,,,,,,,,
-23.72902,-46.53976,1,0,1.0,1,,,,,,,,,,
-23.729,-46.53976,1,0,1.0,1,,,,,,,,,,
-23.72894,-46.5396,2,0,2.0,1,,,,,,,,,,
-23.72892,-46.53973,1,0,1.0,1,,,,,,,,,,
-23.72892,-46.53974,1,0,1.0,1,,,,,,,,,,
-23.72893,-46.53977,1,0,1.0,1,,,,,,,,,,
-23.72894,-46.53978,1,0,1.0,1,,,,,,,,,,
-23.72884,-46.53967,1,0,1.0,1,,,,,,,,,,
-23.72883,-46.53966,3,0,3.0,1,,,,,,,,,,
-23.72881,-46.53962,5,0,5.0,1,,,,,,,,,,
-23.7288,-46.53961,1,0,1.0,1,,,,,,,,,,
-23.72882,-46.53972,1,0,1.0,1,,,,,,,,,,
-23.72882,-46.5398,1,0,1.0,1,,,,,,,,,,
-23.72884,-46.53986,3,0,3.0,1,,,,,,,,,,
-23.72885,-46.53987,1,0,1.0,1,,,,,,,,,,
-23.72887,-46.53992,1,0,1.0,1,,,,,,,,,,
-23.72882,-46.54001,1,0,1.0,1,,,,,,,,,,
-23.72875,-46.53988,2,0,2.0,1,,,,,,,,,,
-23.72869,-46.53995,1,0,1.0,1,,,,,,,,,,
-23.72866,-46.53996,2,0,2.0,1,,,,,,,,,,
-23.72871,-46.53965,2,0,2.0,1,,,,,,,,,,
-23.72875,-46.53964,1,0,1.0,1,,,,,,,,,,
-23.72873,-46.53964,1,0,1.0,1,,,,,,,,,,
-23.72869,-46.53935,4,0,4.0,1,,,,,,,,,,
-23.72868,-46.53937,1,0,1.0,1,,,,,,,,,,
-23.72867,-46.53943,1,0,1.0,1,,,,,,,,,,
-23.72857,-46.53944,1,0,1.0,1,,,,,,,,,,
-23.72858,-46.53945,3,0,3.0,1,,,,,,,,,,
-23.72862,-46.53943,1,0,1.0,1,,,,,,,,,,
-23.72854,-46.53918,2,0,2.0,1,,,,,,,,,,
-23.72871,-46.53931,1,0,1.0,1,,,,,,,,,,
